case_id,seed,passed,frame_count,wall_seconds,peak_rss_bytes,maximum_penetration_cm,maximum_residual_cm_s,dropped_trace_frames,step_failures,deterministic_hash,physics_profile_id,summary_sha256,trace_sha256,index_sha256
cue_center_hit,7,True,240,0.078300833,42729472,0,0,0,0,1d89176e9227de6d60856ebfd47021b7106023b40253492f6f4ad985bfbe6c30,chinese_pool_full_game_v2,c21a7082be573f6f7f1bad75e6b47ca6ffcbfb354bbb208ddb120dd241eb37c3,3874c29546caa1c80478f99bea930f9aaf20b9cdcf0df71d800836131e682383,1a5be1025db779c631f573485ff03a1467def4d160f1b5127382b17ca3c6d1ee
cue_near_miscue,7,True,240,0.068792375,72302592,0,0,0,0,5a4ffbe1d05ada8c5afa06f676f5d50cd17ceb49e8599f8ad585511c2b4379a8,chinese_pool_full_game_v2,debf45064dd185eb824e473da0f03eb9e2f62cbd67ab9f086e9953d57034202c,8d53db5f22cf263394d4abb43aadba27ee081c095d7073d8c337b244856cb3be,214174436a17743729949ca77fb5d2fb68687622d4b6fefb08d5074197506007
sliding_to_rolling,7,True,240,0.07245625,78331904,0,0,0,0,fc8c6816b974228dc6ee38232f666ec88195360b7822029830c019c67633171b,chinese_pool_full_game_v2,f41272c749206ab68d4553e4922e830349302b0d16b0cf981db6b10e7f2784da,5041ea34f330f905978c1bfd6ee33d210ec08c5daba55d37b0183eeac2a389ca,e15356248d94468b89da3a833ca0f73bc85699d91bb8b071ce98c37bb5a6b3df
oblique_ball_collision,7,True,240,0.068195667,90423296,0,0,0,0,07523fd49e0698365fb85daf16c3e3d5405d1238631ade97b291624ea371a8ed,chinese_pool_full_game_v2,073deef17b111736e52d547eb9fc1154f5655fff95902d9d6b09066390e91a46,6cfef2baa7deea30fca46c406e80e56180ad671318641f995a4263f73609d697,d6455141fbba13906b783cf41dcaeeb532dd2375df9adfc5b82be1751cfa9a48
rail_rebound,7,True,240,0.06926825,95436800,0,0.00010566656214905379,0,0,336b29c7f5de7d1c09cf316d6140e71418ee00adeb85fb79a7f8f62f2bf2b23d,chinese_pool_full_game_v2,c211e665a7835f73e194908a934321881a2ff46247379496897a8a7597547b60,9be1d90ea3afaef73a2c5b022766683d1c01f45d896e157171499c2ce76e7921,e0c7f2a5a1a43f6236214b8c35732e0ab4253bc40bc918ff3149e1cbab67ac3b
side_pocket_capture,7,True,240,0.080730709,104808448,0,0,0,0,026aaab959ae4e9b90df8f1b36de6a155373a563c55549422d3e8f6f9df4d81a,chinese_pool_full_game_v2,8d22d6eb6bd024aa03fcf972633dc0484eba11ac592fea79499390a1a047b70c,665d15dc06c5c43819c970394abac33741974c78b6ad022434ac58052b541311,a122ed21b36ba81ee2f5a68eedc0cc859df3d5c333a539e0ac6a854cc3e1148a
seeded_break,101,True,360,0.150992125,133988352,0.017160068633756964,0.0009853388394276408,0,0,3b33113e90eedc0b27fe84a1af2c5850942291ce7767b1dc21c55811db21fbd1,chinese_pool_full_game_v2,5a4ba3e2ee2784fbb44fc43eafd11b1324a19d984ac1149c4bdd6d86153e8ee6,58db1f7037bf62f6e3fc9dd3d3ac184f0dd2cebf2add9f7900f8fd927fd8d9f6,13a0d1faac258b4c62753fc23f12206c5f015db77c5898121afb43b53857bddc
continuous_scoring,211,True,360,0.122131833,147308544,0,0,0,0,dd41d97dd2f64cac7cf10c35604130f0bb0476d6c133bb03f3f5a75ce49cf0ee,chinese_pool_full_game_v2,7f9baadbc0618ddbc9030983ea1eb214e1ec3a1dabec005a583812a2faad7a6a,0015fafff1c1e6629e46bf90e1857061cf07675c141d2ad4a732da9a6804d496,a230946289c1c1139da3a72db7bbe1790cc9b422f9ebaba0da86617cad85a3e8
cue_ball_scratch,307,True,120,0.043594458,152518656,0,0,0,0,05d9531ad1f0fb64fb2ac2ed6a93e8cd12da4371d6d53b285bd4e0f36c2616dd,chinese_pool_full_game_v2,03171275df74949e8b40f7486ae0d6c93c6cba38e918ed4a60c1ab223e6c2aa8,4814a1d2809d407820997f284a1e20311c4f806da26e2c26615691fe6578508d,68522b7ca98073f73a629e118b8a830825355ac2128b7227cb3359ab794e819a
randomized_legal_sequence,305419896,True,48,0.013748875,152518656,0,0,0,0,4ed4540cc21b8e6a1be10dd5f89ea4e67143ecfabbddf86c708dab510939260c,chinese_pool_full_game_v2,04951f3ac257063590f1106e676c793f117583ae487a232fc06b4bb83edf71bc,4af286471584d527dc564ca929ea9a982190780170fb882732dd4f5d8cb6c7d1,b2f760a6214c859d3dcaf186f534432b1d2d479ea12791dde06b23ad92a12bd0
cadence_equivalence,401,True,240,0.221848083,152518656,0.018542751482583775,0.0009793031998697188,0,0,68e3ee154f4bf87fe797678943952d00013fae19352e12e746b202d7bd5133b9,chinese_pool_full_game_v2,3059bb2f0e356b2781fac299049c164d65aa5c3d962589f5d4c5ce457e2690b8,71186a3cfd3199df2b393fb901c5997860bbfd1fa27b4daa17630114a4948a49,d78f9f2c16570b8be2e4885e8137d3f9cc48f06eede9e7598ceb5ff24a2650fb
host_load_equivalence,503,True,240,0.235999417,152518656,0.01793540102965796,0.000961436191573739,0,0,dafd1a55d0bb0fb2fa4046487cc82ec3d86a92dee8f12da7eb7d990f385d750c,chinese_pool_full_game_v2,b04644349f87538732a8fc60d4078a2e601d700f8f8435117f8848ed84e03a55,38e4a84e93f1284c8567b527101e8221276f2c7a80fe83130fdd6b88ee084860,4178ed2e1d17d77bcc708c9ca382ceee8b8f8965b6ce47a74d7cb07ed3bd71c8
