case_id,seed,passed,frame_count,wall_seconds,peak_rss_bytes,maximum_penetration_cm,maximum_residual_cm_s,dropped_trace_frames,step_failures,deterministic_hash,physics_profile_id,summary_sha256,trace_sha256,index_sha256
cue_center_hit,7,True,240,0.068172167,42483712,0,0,0,0,0820ebe9d7028ada8aeff6cb40fcd9f0978458d262a6f47f01c0d951f52e2cf9,chinese_pool_full_game_v3,03ef082d1c4afc9ebb8c1f2010940b2c786537af402fec124230192a0add611c,57193529ae302a16b8dbdd77b9b2679c2c5b2924c744c75718a0549277bf0ff8,0f6583d1bdf65d222ddf8c20226a074463307dfcfb412745a105514ffaf21e66
cue_near_miscue,7,True,240,0.071529125,73973760,0,0,0,0,ad3a51e6ed6c76c93be3397f7d188906b7f08ac95218af9f868c8c5a4f68407d,chinese_pool_full_game_v3,c5e1cc255c11dff14cc02f88c1a49bfd888d191010e898aec405eb28113d6052,59b2944d332352fa6eb6aa1a0785184f717e96dd8fe500109e76e0e99d5fddc1,b3eb91ecee79699990370b13564d252b2799e3c08308be732d2893d40868efb7
sliding_to_rolling,7,True,240,0.072338583,90226688,0,0,0,0,b3d30600c51d52a83a92c751b84374e453a877dde144be9a947769aae1f5c084,chinese_pool_full_game_v3,76c25f9aada0303ceb3eb22c6be5b05dadaecba61f33dd2962da8fd43afc05a3,5731e49a04ebf51fae4d0f3327cd26c7791be716cc6df3888ce0542031b1518a,8de24b532fe64edb34727c82b69b16ff10e23921a340a1248c0f5666d0dd5b83
oblique_ball_collision,7,True,240,0.077332792,95059968,0,0,0,0,79db07b93f9733453394df001176df9956c3b157301faa3c58b4a0a83930c18e,chinese_pool_full_game_v3,0b94e95b50aad58760160470a8ef27d24306fcb25dae046483067553175802b5,65fc55e0bf17ac856c7ede3494cf01626fc66d7b9cda5462fb4623becf268faa,f38ced1643aa1d2109d258aef0cb17184f12ae259c3c5a4b21011e0c699012e8
rail_rebound,7,True,240,0.078941583,98336768,0,0.00010566656214905379,0,0,178c8da0b73ed1607ab698eb53ed3bce9fa83f155f46d1b0d3319a66266a8e95,chinese_pool_full_game_v3,bbc1d0864817afd56cec3f92a01c9ddd7ce417de2b312b65605d8a4be3d5b426,a26fadaec9359bfdf79e7ff8b16461e3e5ff96d2a167dd61883d6d5705904b71,83f129a030def1cc3dc2d4db655585e47165784de86295783233c314af13b05f
side_pocket_capture,7,True,240,0.075962625,104366080,0,0,0,0,ebb22f2230b3e034c161715393e8d3ab46f584892b7e9cf084120f5533f3a178,chinese_pool_full_game_v3,7a4e55a0f89f79ac1a1fe118b2e94002ef52c72aa8079cb4a49e5d04bed1a950,e324b5a2ffbc98ec96bc81ffb99c0ae44fc01eca427196eed9db4b631b975377,6f6e4e55fce804bd42a92015787bc76f43250f34c497082e1a1ed8b31d2bb76b
seeded_break,101,True,360,0.145193958,126746624,0.017160068633756964,0.0009853388394276408,0,0,04525e3ab3736570e054f50838f4a680a39bdb96f0173780da7e3f925481d16c,chinese_pool_full_game_v3,021deacfa7b8b341605338510d922cb6ce6b023fc363823ee9ecc47ce8adc343,2f5524f5b82d114dba38567661f166c962e49f0bd33658182125a8190f73df67,faa96937b27ee134887e8be38466a174c1ff9b6cbd97371c84743c1fd6db1a37
continuous_scoring,211,True,360,0.123123583,151699456,0,0,0,0,d1e8a5ddc669681202cd2bd6797fcd3aabd688c32656ee38701e3c6947edbc64,chinese_pool_full_game_v3,002e81edc600d4a0e5dee1f0b22708bad78e9653a95a53a27ba700d2fb98cab9,be99f286a04c5cac3765495801f43841ee43691eb8ad25c8168573c4010ca51c,08573ef616fc4464cec0551a6a585454dd72fd6c872a7fe83c67c3eaa9633768
cue_ball_scratch,307,True,120,0.0347695,154124288,0,0,0,0,577d5b597b158426a03ca95bb11a38c65edcaa89fa2887f265450d9829961988,chinese_pool_full_game_v3,3a8b7f3c5ac40c6695a5f23f296bff18af96409484450449c62feff913a6cc67,8e23aec6838a2b5b61c3bae47f5b58842a71e02ec50110dd3bf569184c5b26a7,c72d2e10571fa1b60f92c76e300f4cce72203dda2ef281b4ee46d80d33bae352
randomized_legal_sequence,305419896,True,48,0.014768125,154124288,0,0,0,0,130fe4f0bbb2985e8149e0d4a9bbf8f503356fe1103820584d595a1f55218b79,chinese_pool_full_game_v3,1ae3d59db88a5300b96c4b8c88337e6048a03844928103e46b7ed9b1a6abd080,21d0984dfd7cf59c37a9530d4b798ed2a174d8683e48a908e3301ba57a4e8165,1a9901b8a913e14a1402038a3b863c486ec36958bf042857ef38dccbf5023c22
cadence_equivalence,401,True,240,0.226136167,154124288,0.018542751482583775,0.0009793031998697188,0,0,66bc74a8bf03f2f185a0ca3d924814aef9be23f545468450bdf2c5f07d7c1ed9,chinese_pool_full_game_v3,6472de4d89d9ed9bf9462b337ff8a023e2355083d5d1fcecdea1e80d3e445d42,a47004d14c0a6f209bb4c779a0f2c7aeb8b4ad922f8434868b9788693c7788c1,3a7b1f4ac40e0e3366e016c2c38c116badd80d9addc1921e9dc7f2945214ce2f
host_load_equivalence,503,True,240,0.311636625,154124288,0.01793540102965796,0.000961436191573739,0,0,de761f0d6cb085508e7f63e7c897168cbc038257de1b89036bfbd4e3b2ddeabf,chinese_pool_full_game_v3,d6ef43c16b6f8f81843b5dfa857c18fa40bb1f40da5c0006f652dd6699511daf,dbef5946988fbdb067750f5de1677aa37ddecf470abf2824677383df226f65e0,eb7f0279fc855cb2c985fb70ea5022ef937800cbbbec4c3b7911ca069722ef2c
