case_id,seed,passed,frame_count,wall_seconds,peak_rss_bytes,deterministic_hash
cue_center_hit,7,true,240,0.069062,42565632,778e1d102e62e6f5d0a0bd0d23f5c0696b8ca117c476ade955c59129505a6265
cue_near_miscue,7,true,240,0.074422,70696960,099d27b5ba733afd82e4178470d83168509470db1b0a09c74b8b82d07eaea406
sliding_to_rolling,7,true,240,0.067800,87703552,2951eb8ad6d930c4ef8bfd767d6df4cfc6aa99ed62325b3ba042be0c244245c8
oblique_ball_collision,7,true,240,0.073150,94683136,9e49f293bbf1902dc9d4d03914ef60700fc17c74efbf53fd76a3d426c47d19fe
rail_rebound,7,true,240,0.070996,96600064,08d41c6c711725c34345a0f62987cc31daa2968ceff1985012266233139eda25
side_pocket_capture,7,true,240,0.068388,104988672,235cfe963f43b5c14aa599135ed3c2a06f07c973846d7b1f099ceae1ab1d6bbb
seeded_break,101,true,360,0.131756,136167424,60d75b6692aea301165bc3217c9b1893d7845306675252483fc24b3b588d32ce
continuous_scoring,211,true,360,0.139306,152371200,208b41b275e75ef805422dfdd7a817efca77aaf921a4e7b77662d46a8905baaf
cue_ball_scratch,307,true,120,0.036250,155697152,25aaae487992df07e5332c79013533c5db87104f603159218f33e825fbb0dcae
randomized_legal_sequence,305419896,true,48,0.014063,155697152,f92892dde8334aa0736792d2907e2c92749563d3a0d67c79d2e34206f5bec755
cadence_equivalence,401,true,240,0.229371,155697152,fd2be27748a45bc8511b94bdabd886671a704c92c8b092339d2ec5715398cebf
host_load_equivalence,503,true,240,0.294220,155697152,3662cea139c399beb22c0436e7e171a8f4ad9b49b9ac1851e657a416640bdc8d
