case_id,seed,passed,frame_count,wall_seconds,peak_rss_bytes,deterministic_hash
cue_center_hit,7,true,240,0.078528,46071808,6e8e1aed292d7412b905f8e8419c498c6293b2909fa61e96411a85b75a0155a8
cue_near_miscue,7,true,240,0.079183,72826880,bfb5417c86f49637614bd38d40ff349eef84f41be3c325d982196c9c4e1c694a
sliding_to_rolling,7,true,240,0.077654,87818240,96fccd21c890b94147ed3e5f261cb564103c3e48d63e897f7fdb091b6c393105
oblique_ball_collision,7,true,240,0.074398,93388800,5d653cd799d25a999d88806ddfe35c4972c776a06ad58e3bbcc5f01c115ac59d
rail_rebound,7,true,240,0.079754,94224384,ff678ea892592077e7f5f222a50e6a37f9fd7b37a121233aa3645b0fdf6eff39
side_pocket_capture,7,true,240,0.072658,102694912,62ce038dbc67055ad84ae634fcd56507d020004567611dfbd4fdc2266add6482
seeded_break,101,true,360,0.140147,129646592,9f4ce252c52d60ed24ba6eed47d0cacd796490d8ef6dc920ad4fa9c415a72b7f
continuous_scoring,211,true,360,0.123621,144408576,5db8b6f9368a9b583a0c8cb72e78ffd0eea1582246aa2cbc8d18c578df025196
cue_ball_scratch,307,true,120,0.045714,148979712,1a4581a9bafbdd29f2c4eb3b8777d2e6f966b198019cf552276525ff40f4687f
randomized_legal_sequence,305419896,true,48,0.019561,148979712,6dcd5bad5f3194cda0f84fcaf23346830bcbd340c01596c48f15750004e04e0b
cadence_equivalence,401,true,240,0.397734,150913024,4af19fbb92ed9979987460689d9b27c2c3c584f264f3e19e5036b8a8b9f03363
host_load_equivalence,503,true,240,0.304681,169443328,b682a32029e193e72c0d6dbd9215bbb98a6399ea697d3af0e025486d7f0ce645
