stage,stiffness_n_per_m32,dissipation_s_per_m,duration_s,duration_residual_s,trace_rmse,objective,passive
grid,100000.0,0.0,0.011311189330283971,0.010311189330283972,0.43866863128682465,412.8862418426457,True
grid,105925.37251772897,0.0,0.011053715226311139,0.010053715226311138,0.43863110322354226,402.587240155669,True
grid,112201.84543019629,0.0,0.010802101948464576,0.009802101948464575,0.43859135368725266,392.5226692922702,True
grid,118850.22274370189,0.0,0.010556216088053707,0.009556216088053706,0.43854925132845,382.6871927734766,True
grid,125892.54117941661,0.0,0.010315927273140846,0.009315927273140845,0.4385046570512621,373.0755955826851,True
grid,133352.1432163324,0.0,0.01008110809941557,0.00908110809941557,0.43845742355935385,363.68278140018214,True
grid,141253.75446227554,0.0,0.009851634062643876,0.008851634062643877,0.43840739487560054,354.50376990063063,True
grid,149623.5656094433,0.0,0.009627383492653959,0.008627383492653958,0.43835440583407903,345.5336941119924,True
grid,158489.3192461114,0.0,0.009408237488825388,0.008408237488825389,0.4382982815428588,336.7677978345584,True
grid,167880.4018122559,0.0,0.009194079857046067,0.008194079857046066,0.43823883681598613,328.2014331186586,True
grid,177827.94100389228,0.0,0.008984797048104991,0.00798479704810499,0.4381758755729878,319.8300577997726,True
grid,188364.9089489802,0.0,0.008780278097486672,0.007780278097486672,0.43810919020415906,311.64923308967104,True
grid,199526.2314968879,0.0,0.008580414566536361,0.007580414566536361,0.4380385608997974,303.6546212223542,True
grid,211348.90398366476,0.0,0.00838510048496441,0.00738510048496441,0.4379637549414927,295.8419831535179,True
grid,223872.11385683378,0.0,0.008194232294659503,0.007194232294659503,0.4378845259535009,288.2071763123336,True
grid,237137.37056616554,0.0,0.008007708794780724,0.007007708794780724,0.43780061311215146,280.7461524043411,True
grid,251188.6431509582,0.0,0.007825431088099463,0.0068254310880994625,0.4377117403111828,273.45495526428965,True
grid,266072.50597988087,0.0,0.007647302528563233,0.006647302528563233,0.4376176152808109,266.32971875781016,True
grid,281838.2931264455,0.0,0.007473228670051643,0.006473228670051643,0.43751792865833194,259.36666473072404,True
grid,298538.26189179573,0.0,0.007303117216300805,0.006303117216300805,0.43741235300792214,252.5621010050401,True
grid,316227.7660168379,0.0,0.007136877971966187,0.006136877971966187,0.43730054178737726,245.91241942043484,True
grid,334965.43915782793,0.0,0.0069744227948000444,0.005974422794800044,0.4371821282594057,239.41409392026117,True
grid,354813.3892335753,0.0,0.0068156655489170865,0.0058156655489170865,0.43705672434516246,233.0636786810286,True
grid,375837.4042884443,0.0,0.006660522059124135,0.005660522059124135,0.4369239194177078,226.85780628438306,True
grid,398107.1705534969,0.0,0.00650891006628934,0.00550891006628934,0.43678327903312464,220.79318593060674,True
grid,421696.5034285823,0.0,0.0063607491837272935,0.0053607491837272935,0.43663434359714565,214.86660169268887,True
grid,446683.5921509635,0.0,0.006215960854576879,0.005215960854576879,0.4364766269652646,209.07491081004042,True
grid,473151.2589614803,0.0,0.006074468310149524,0.005074468310149524,0.43630961497451953,203.41504202095547,True
grid,501187.2336272725,0.0,0.005936196529225273,0.004936196529225273,0.4361327639054059,197.88399393291635,True
grid,530884.4442309879,0.0,0.005801072198275656,0.004801072198275656,0.43594549887274897,192.47883342989897,True
grid,562341.3251903491,0.0,0.005669023672591782,0.004669023672591782,0.4357472121448307,187.19669411581611,True
grid,595662.1435290109,0.0,0.005539980938297497,0.004539980938297497,0.4355372613906733,182.03477479329052,True
grid,630957.344480193,0.0,0.00541387557522698,0.00441387557522698,0.43531496785615814,176.99033797693534,True
grid,668343.9175686149,0.0,0.005290640720647561,0.004290640720647561,0.43507961447061294,172.06070844037305,True
grid,707945.7843841374,0.0,0.005170211033808073,0.004170211033808073,0.43483044388671965,167.2432717962096,True
grid,749894.2093324559,0.0,0.005052522661294523,0.004052522661294523,0.4345666564580846,162.535473108239,True
grid,794328.2347242822,0.0,0.004937513203173994,0.003937513203173994,0.4342874081606763,157.93481553512044,True
grid,841395.1416451947,0.0,0.0048251216799094976,0.0038251216799094975,0.4339918084666316,153.43885900484653,True
grid,891250.9381337459,0.0,0.004715288500027664,0.003715288500027664,0.4336789181817477,149.04521891928832,True
grid,944060.8762859226,0.0,0.004607955428522717,0.003607955428522717,0.43334774726147185,144.75156488817015,True
grid,1000000.0,0.0,0.004503065555979483,0.0035030655559794826,0.43299725262442523,140.55561949180372,True
grid,1059253.7251772897,0.0,0.00440056326839907,0.00340056326839907,0.4326263359878047,136.4551570719506,True
grid,1122018.4543019629,0.0,0.004300394217711871,0.003300394217711871,0.4322338417553489,132.4480025502302,True
grid,1188502.2274370189,0.0,0.004202505292961309,0.0032025052929613093,0.43181855499649746,128.53203027344887,True
grid,1258925.411794166,0.0,0.004106844592143783,0.003106844592143783,0.43137919956501125,124.70516288531633,True
grid,1333521.432163324,0.0,0.004013361394689476,0.0030133613946894764,0.4309144364171892,120.96537022399623,True
grid,1412537.5446227554,0.0,0.003922006134569693,0.0029220061345696926,0.4304228622044067,117.31066824499212,True
grid,1496235.6560944328,0.0,0.003832730374016275,0.002832730374016275,0.42990300823259153,113.73911796888358,True
grid,1584893.1924611141,0.0,0.0037454867778392155,0.0027454867778392155,0.42935333990333147,110.24882445347194,True
grid,1678804.018122559,0.0,0.003660229088329178,0.002660229088329178,0.4287722567784645,106.83793578994556,True
grid,1778279.410038923,0.0,0.0035769121007304975,0.0025769121007304975,0.4281580934435348,103.50464212266343,True
grid,1883649.089489802,0.0,0.0034954916392736374,0.0024954916392736374,0.42750912138694475,100.24717469233244,True
grid,1995262.3149688789,0.0,0.003415924533752178,0.002415924533752178,0.42682355216295287,97.06380490225008,True
