parameter,scale,stiffness_n_per_m32,dissipation_s_per_m,duration_s,duration_residual_s,trace_rmse,objective,passive
stiffness_n_per_m32,0.5,21514960.140380584,0.0,0.0013195079827870088,0.0003195079827870088,0.2708748511324387,13.05119416261279,True
stiffness_n_per_m32,1.0,43029920.28076117,0.0,0.0010000000000000002,2.168404344971009e-19,0.08149640214859985,0.08149640214860852,True
stiffness_n_per_m32,2.0,86059840.56152233,0.0,0.0007578582111892178,-0.00024214178881078218,0.3555581435461288,10.041229695977416,True
dissipation_s_per_m,0.5,43029920.28076117,0.0,0.0010000000000000002,2.168404344971009e-19,0.08149640214859985,0.08149640214860852,True
dissipation_s_per_m,1.0,43029920.28076117,0.0,0.0010000000000000002,2.168404344971009e-19,0.08149640214859985,0.08149640214860852,True
dissipation_s_per_m,2.0,43029920.28076117,0.0,0.0010000000000000002,2.168404344971009e-19,0.08149640214859985,0.08149640214860852,True
