parameter,scale,normal_stiffness_n_per_m32,normal_dissipation_s_per_m,interior_rmse_degrees,interior_maximum_absolute_error_degrees,head_on_cue_residual_speed_ratio,head_on_cue_lateral_speed_ratio,grazing_target_speed_ratio,passed
normal_stiffness_n_per_m32,0.5,21514960.140380584,0.0,3.528406199604144,4.807672308075169,0.8351622930598868,0.0,0.0,False
normal_stiffness_n_per_m32,1.0,43029920.28076117,0.0,2.9838263738310524,4.273227224440731,0.8351475781977681,0.0,0.0,True
normal_stiffness_n_per_m32,2.0,86059840.56152233,0.0,2.6297197852043577,3.890183600892314,0.8351155196542059,0.0,0.0,True
normal_dissipation_s_per_m,0.5,43029920.28076117,0.0,2.9838263738310524,4.273227224440731,0.8351475781977681,0.0,0.0,True
normal_dissipation_s_per_m,1.0,43029920.28076117,0.0,2.9838263738310524,4.273227224440731,0.8351475781977681,0.0,0.0,True
normal_dissipation_s_per_m,2.0,43029920.28076117,0.0,2.9838263738310524,4.273227224440731,0.8351475781977681,0.0,0.0,True
