point_id,dataset_id,dataset_version,lifecycle,series_id,incident_speed_m_s,expected_rebound_cm_s,standard_uncertainty_cm_s,rigid_cushion_domain,source_locator,normalized_path,normalized_sha256,raw_extracted_path,raw_extracted_sha256
fig7_experimental_13,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,2.52954,227.9685,0.5014042780032895,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_14,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,2.700844,226.51885,0.5010779605011579,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_15,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,2.892779,238.2759,0.5,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_16,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,2.984683,246.2069,0.5,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_17,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,3.106437,262.0175,0.5026452526384786,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_18,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,3.1851,256.84955,0.5022088235983115,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig7_experimental_19,mathavan_2010_cushion,1.0.0,spent,mathavan_2010,3.40454,273.23275,0.5164604752543993,false,journal p. 1870 Fig. 7(a),tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d
fig9_visible_01,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,0.272697,21.7341,21.214443872553176,true,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_02,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,1.514616,145.2768,21.21323000727869,true,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_03,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,1.761311,163.8257,21.213819660346626,true,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_04,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,1.988906,182.1712,21.213378136431007,true,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_05,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,2.279716,203.2521,21.213385319691646,true,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_06,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,2.530455,228.2271,21.213391591674092,false,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_07,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,2.702641,226.1217,21.21348586917551,false,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
fig9_visible_08,mathavan_2009_high_speed,1.0.0,spent,mathavan_2009,3.403653,273.7346,21.214709864660158,false,Fig. 9 marker,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595
