case_id,dataset_id,dataset_version,expected,friction_coefficient,incident_speed_m_s,impact_angle_degrees,kinetic_energy_after_j,kinetic_energy_before_j,lifecycle,metric,normal_restitution,normal_impulse_ns,normalized_path,normalized_sha256,normalized_residual,point_id,predicted,raw_extracted_path,raw_extracted_sha256,regime,sample_phase,series_id,source_locator,standard_uncertainty,tangential_impulse_ns,unit,series_mean_squared_normalized_residual
billiard_alpha1_010,domenech_2023_ball_collision,1.0.0,63.842467,0.1,0.8,20.945,0.39983363747588313,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7359321158204022,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,27.35539899518535,billiard_alpha1_010,66.58370535331434,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.10020831185086396,-0.07359321158204023,degree,234.08979248066544
billiard_alpha1_011,domenech_2023_ball_collision,1.0.0,66.326035,0.1,0.8,22.776647,0.4003127859953423,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.726552564725802,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-13.416182801916113,billiard_alpha1_011,64.97319403300126,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.10083650371889141,-0.0726552564725802,degree,234.08979248066544
billiard_alpha1_012,domenech_2023_ball_collision,1.0.0,62.888957,0.1,0.8,23.461803,0.4005027504731597,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.722852653169754,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,6.911632019062311,billiard_alpha1_012,64.36237067261817,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.21317883656920542,-0.0722852653169754,degree,234.08979248066544
billiard_alpha1_013,domenech_2023_ball_collision,1.0.0,61.301467,0.1,0.8,24.492633,0.4007996233212616,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7170914921530641,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,18.50629840119327,billiard_alpha1_013,63.43601593915732,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.11534175516264698,-0.07170914921530641,degree,234.08979248066544
billiard_alpha1_014,domenech_2023_ball_collision,1.0.0,62.890535,0.1,0.8,26.194436,0.40131898263046883,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.7070733772221877,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-4.663533701420451,billiard_alpha1_014,61.88986320258147,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.21457372488028445,-0.07070733772221877,degree,234.08979248066544
billiard_alpha1_015,domenech_2023_ball_collision,1.0.0,61.358945,0.1,0.8,27.348485,0.4016920322959678,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.699924290290126,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-5.278136300525205,billiard_alpha1_015,60.83113136994748,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.1,-0.0699924290290126,degree,234.08979248066544
billiard_alpha1_016,domenech_2023_ball_collision,1.0.0,60.268196,0.1,0.8,29.967255,0.40260160792611094,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.6826530808991077,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-13.439237417170936,billiard_alpha1_016,58.40357208086103,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.13874477109516598,-0.06826530808991077,degree,234.08979248066544
billiard_alpha1_017,domenech_2023_ball_collision,1.0.0,59.285735,0.1,0.8,31.596,0.40321183393742044,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.6711896483894523,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-22.13890925697453,billiard_alpha1_017,56.87918708348086,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.10870218982269861,-0.06711896483894524,degree,234.08979248066544
billiard_alpha1_018,domenech_2023_ball_collision,1.0.0,56.392093,0.1,0.8,31.897561,0.4033285882031445,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.6690074152030024,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,2.021746064560259,billiard_alpha1_018,56.59589751300149,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.10080618756926582,-0.06690074152030025,degree,234.08979248066544
billiard_alpha1_019,domenech_2023_ball_collision,1.0.0,58.890964,0.1,0.8,33.744839,0.4040696526502645,0.44800000000000006,spent,cue_scattering_angle_degrees,0.97,0.6552374863430139,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,-40.20230719171814,billiard_alpha1_019,54.85418189579629,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d,sliding,immediate_post_impact,billiard_alpha1,Fig. 6 experimental markers,0.10041170236705482,-0.0655237486343014,degree,234.08979248066544
