point_id,dataset_id,dataset_version,lifecycle,series_id,case_id,metric,sample_phase,impact_angle_degrees,incident_speed_m_s,expected,unit,standard_uncertainty,source_locator,normalized_path,normalized_sha256,raw_extracted_path,raw_extracted_sha256
billiard_alpha1_011,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_011,cue_scattering_angle_degrees,immediate_post_impact,22.776647,0.8,66.326035,degree,0.10083650371889141,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_012,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_012,cue_scattering_angle_degrees,immediate_post_impact,23.461803,0.8,62.888957,degree,0.21317883656920542,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_013,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_013,cue_scattering_angle_degrees,immediate_post_impact,24.492633,0.8,61.301467,degree,0.11534175516264698,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_014,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_014,cue_scattering_angle_degrees,immediate_post_impact,26.194436,0.8,62.890535,degree,0.21457372488028445,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_015,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_015,cue_scattering_angle_degrees,immediate_post_impact,27.348485,0.8,61.358945,degree,0.1,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_016,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_016,cue_scattering_angle_degrees,immediate_post_impact,29.967255,0.8,60.268196,degree,0.13874477109516598,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_017,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_017,cue_scattering_angle_degrees,immediate_post_impact,31.596000,0.8,59.285735,degree,0.10870218982269861,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_018,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_018,cue_scattering_angle_degrees,immediate_post_impact,31.897561,0.8,56.392093,degree,0.10080618756926582,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_019,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_019,cue_scattering_angle_degrees,immediate_post_impact,33.744839,0.8,58.890964,degree,0.10041170236705482,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
billiard_alpha1_020,domenech_2023_ball_collision,1.0.0,spent,billiard_alpha1,billiard_alpha1_020,cue_scattering_angle_degrees,immediate_post_impact,35.570041,0.8,56.391208,degree,0.10092170862728198,Fig. 6 experimental markers,tests/physics_validation/reference_data/domenech_2023_ball_collision/normalized.csv,sha256:d04396a53ab1010429fc67405e63bd92759fec7abc0ad1a86e9b395736f1a5ec,tests/physics_validation/reference_data/domenech_2023_ball_collision/raw_extracted.csv,sha256:fd26a8d030d12feee2f0829d1b005af7af523966d568c09d977b106b79a9d74d
