point_id,dataset_id,dataset_version,lifecycle,phase,contiguous_sample_count,observed_acceleration_cm_s2,fitted_acceleration_cm_s2,standard_uncertainty_cm_s2,normalized_residual,source_expected_cm_s2,source_lower_cm_s2,source_upper_cm_s2,source_locator,evidence_path,evidence_sha256
mathavan_2009_rolling_deceleration,mathavan_2009_high_speed,1.0.0,spent,rolling,5,12.499999813735489,12.499999813735489,0.1,0.0,12.5,12.4,12.6,Fig. 6 and p. 790,physics_models/candidates/surface_motion_v1/calibration/reference_points.csv,sha256:5b6199e17f8478f844d790f16d01c47668ecf1714b1fde4d0e491306d3cde5e3
mathavan_2009_sliding_deceleration,mathavan_2009_high_speed,1.0.0,spent,sliding,1,196.13296508789062,196.13296508789062,32.5,0.0,207.5,175.0,240.0,Fig. 6 and p. 790,physics_models/candidates/surface_motion_v1/validation/traces/mathavan_2009_high_speed__sliding_deceleration.json,sha256:ed23d4ed8116e77da1eb81e97e5b46d599fb81e1dddf2092a99d9c3337770ec4
