dataset_id,dataset_version,e_intercept,e_max,e_min,e_slope,expected,incident_speed_m_s,lifecycle,metric,normalized_path,normalized_sha256,normalized_residual,point_id,predicted,raw_extracted_path,raw_extracted_sha256,restitution,rigid_cushion_domain,series_id,source_locator,standard_uncertainty,unit,series_mean_squared_normalized_residual
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,145.56535,1.526487,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,-11.87617976266138,fig7_experimental_09,139.59978965745358,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.914516728,True,mathavan_2010,journal p. 1870 Fig. 7(a),0.5023130721970114,cm/s,72.97802296510822
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,164.52385,1.755444,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,-12.43081270819002,fig7_experimental_10,158.2875316320384,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.901695136,True,mathavan_2010,journal p. 1870 Fig. 7(a),0.5016822724593725,cm/s,72.97802296510822
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,182.4138,1.991247,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,-10.98692368810083,fig7_experimental_11,176.9203381559496,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.888490168,True,mathavan_2010,journal p. 1870 Fig. 7(a),0.5,cm/s,72.97802296510822
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,203.1109,2.276377,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,-8.982582672930567,fig7_experimental_12,198.6191034216776,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.872522888,True,mathavan_2010,journal p. 1870 Fig. 7(a),0.5000562468362933,cm/s,72.97802296510822
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,227.9685,2.52954,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,-21.63225784222142,fig7_experimental_13,217.12199337503998,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.85834576,False,mathavan_2010,journal p. 1870 Fig. 7(a),0.5014042780032895,cm/s,72.97802296510822
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,226.51885,2.700844,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,5.420361031648619,fig7_experimental_14,229.23487345091843,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.848752736,False,mathavan_2010,journal p. 1870 Fig. 7(a),0.5010779605011579,cm/s,72.97802296510822
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,238.2759,2.892779,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,8.280492160180756,fig7_experimental_15,242.41614608009039,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.838004376,False,mathavan_2010,journal p. 1870 Fig. 7(a),0.5,cm/s,72.97802296510822
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,246.2069,2.984683,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,4.749474762523278,fig7_experimental_16,248.58163738126163,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.832857752,False,mathavan_2010,journal p. 1870 Fig. 7(a),0.5,cm/s,72.97802296510822
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,262.0175,3.106437,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,-10.770070238224179,fig7_experimental_17,256.60397532417363,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.826039528,False,mathavan_2010,journal p. 1870 Fig. 7(a),0.5026452526384786,cm/s,72.97802296510822
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,256.84955,3.1851,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,9.655789616071328,fig7_experimental_18,261.698772744,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.8216344,False,mathavan_2010,journal p. 1870 Fig. 7(a),0.5022088235983115,cm/s,72.97802296510822
mathavan_2010_cushion,1.0.0,1.0,0.93,0.0,0.056,273.23275,3.40454,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2010_cushion/normalized.csv,sha256:25a120d35fc010e7730e450d287fc5119cf07787c89cdf1f330a8f66b7d265a5,4.477111968541259,fig7_experimental_19,275.54500137504,tests/physics_validation/reference_data/mathavan_2010_cushion/raw_extracted.csv,sha256:74db890277673ce6bc11665f7b23e69a1c5beb6cf6d6a8daee844f71eb0bf50d,0.80934576,False,mathavan_2010,journal p. 1870 Fig. 7(a),0.5164604752543993,cm/s,72.97802296510822
mathavan_2009_high_speed,1.0.0,1.0,0.93,0.0,0.056,21.7341,0.272697,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,0.1709552709365237,fig9_visible_01,25.360821000000005,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595,0.93,True,mathavan_2009,Fig. 9 marker,21.214443872553176,cm/s,0.07427237144517466
mathavan_2009_high_speed,1.0.0,1.0,0.93,0.0,0.056,145.2768,1.514616,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,-0.3140467110132584,fig9_visible_02,138.61485488624638,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595,0.915181504,True,mathavan_2009,Fig. 9 marker,21.21323000727869,cm/s,0.07427237144517466
mathavan_2009_high_speed,1.0.0,1.0,0.93,0.0,0.056,163.8257,1.761311,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,-0.23885430054395043,fig9_visible_03,158.7586879431624,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595,0.901366584,True,mathavan_2009,Fig. 9 marker,21.213819660346626,cm/s,0.07427237144517466
mathavan_2009_high_speed,1.0.0,1.0,0.93,0.0,0.056,182.1712,1.988906,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,-0.2561017672593855,fig9_visible_04,176.7384163697184,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595,0.888621264,True,mathavan_2009,Fig. 9 marker,21.213378136431007,cm/s,0.07427237144517466
mathavan_2009_high_speed,1.0.0,1.0,0.93,0.0,0.056,203.2521,2.279716,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,-0.20667555704104415,fig9_visible_05,198.86781177232643,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595,0.872335904,True,mathavan_2009,Fig. 9 marker,21.213385319691646,cm/s,0.07427237144517466
mathavan_2009_high_speed,1.0.0,1.0,0.93,0.0,0.056,228.2271,2.530455,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,-0.5204040094971345,fig9_visible_06,217.18756596066,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595,0.8582945200000001,False,mathavan_2009,Fig. 9 marker,21.213391591674092,cm/s,0.07427237144517466
mathavan_2009_high_speed,1.0.0,1.0,0.93,0.0,0.056,226.1217,2.702641,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,0.15266218483083435,fig9_visible_07,229.36019710066637,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595,0.848652104,False,mathavan_2009,Fig. 9 marker,21.21348586917551,cm/s,0.07427237144517466
mathavan_2009_high_speed,1.0.0,1.0,0.93,0.0,0.056,273.7346,3.403653,spent,rebound_speed_cm_s,tests/physics_validation/reference_data/mathavan_2009_high_speed/normalized.csv,sha256:c429fc9f3996e194462abfd6e053046b28f87791662df3d09c24f2c19ffb7713,0.08275008437583914,fig9_visible_08,275.4901190313096,tests/physics_validation/reference_data/mathavan_2009_high_speed/raw_extracted.csv,sha256:e7825cfb753c8872ae6006fec49d55dad9ded354de42447c29f26b756d22d595,0.809395432,False,mathavan_2009,Fig. 9 marker,21.214709864660158,cm/s,0.07427237144517466
