case_id,pocket_kind,normalized_offset,offset_cm,angle_deg,speed_cm_s,topspin_rad_s,sidespin_rad_s,jaw_side,mouth_width_cm,throat_width_cm,jaw_radius_cm,throat_depth_cm,capture_depth_cm,ball_radius_cm,mouth_passable,throat_passable,expected_outcome,mirror_key
pocket_scan_00026,corner,-1.2,-4.4909999999999997,-30,250,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|250|0|20|1
pocket_scan_00027,corner,-1.2,-4.4909999999999997,-30,250,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|250|0|20|1
pocket_scan_00028,corner,-1.2,-4.4909999999999997,-30,250,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|250|0|20|1
pocket_scan_00029,corner,-1.2,-4.4909999999999997,-30,250,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|250|0|20|1
pocket_scan_00030,corner,-1.2,-4.4909999999999997,-30,500,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|500|0|0|1
pocket_scan_00031,corner,-1.2,-4.4909999999999997,-30,500,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|500|0|0|1
pocket_scan_00032,corner,-1.2,-4.4909999999999997,-30,500,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|500|20|0|1
pocket_scan_00033,corner,-1.2,-4.4909999999999997,-30,500,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|500|20|0|1
pocket_scan_00034,corner,-1.2,-4.4909999999999997,-30,500,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|500|-20|0|1
pocket_scan_00035,corner,-1.2,-4.4909999999999997,-30,500,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|500|-20|0|1
pocket_scan_00036,corner,-1.2,-4.4909999999999997,-30,500,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|500|0|20|1
pocket_scan_00037,corner,-1.2,-4.4909999999999997,-30,500,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|500|0|20|1
pocket_scan_00038,corner,-1.2,-4.4909999999999997,-30,500,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|500|0|20|1
pocket_scan_00039,corner,-1.2,-4.4909999999999997,-30,500,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|30|500|0|20|1
pocket_scan_00040,corner,-1.2,-4.4909999999999997,-15,25,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|0|1
pocket_scan_00041,corner,-1.2,-4.4909999999999997,-15,25,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|0|1
pocket_scan_00042,corner,-1.2,-4.4909999999999997,-15,25,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|20|0|1
pocket_scan_00043,corner,-1.2,-4.4909999999999997,-15,25,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|20|0|1
pocket_scan_00044,corner,-1.2,-4.4909999999999997,-15,25,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|-20|0|1
pocket_scan_00045,corner,-1.2,-4.4909999999999997,-15,25,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|-20|0|1
pocket_scan_00046,corner,-1.2,-4.4909999999999997,-15,25,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|20|1
pocket_scan_00047,corner,-1.2,-4.4909999999999997,-15,25,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|20|1
pocket_scan_00048,corner,-1.2,-4.4909999999999997,-15,25,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|20|1
pocket_scan_00049,corner,-1.2,-4.4909999999999997,-15,25,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|20|1
pocket_scan_00050,corner,-1.2,-4.4909999999999997,-15,100,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|0|0|1
pocket_scan_00051,corner,-1.2,-4.4909999999999997,-15,100,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|0|0|1
pocket_scan_00052,corner,-1.2,-4.4909999999999997,-15,100,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|20|0|1
pocket_scan_00053,corner,-1.2,-4.4909999999999997,-15,100,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|20|0|1
pocket_scan_00054,corner,-1.2,-4.4909999999999997,-15,100,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|-20|0|1
pocket_scan_00055,corner,-1.2,-4.4909999999999997,-15,100,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|-20|0|1
pocket_scan_00056,corner,-1.2,-4.4909999999999997,-15,100,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|0|20|1
pocket_scan_00057,corner,-1.2,-4.4909999999999997,-15,100,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|0|20|1
pocket_scan_00058,corner,-1.2,-4.4909999999999997,-15,100,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|0|20|1
pocket_scan_00059,corner,-1.2,-4.4909999999999997,-15,100,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|0|20|1
pocket_scan_00060,corner,-1.2,-4.4909999999999997,-15,250,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|250|0|0|1
pocket_scan_00061,corner,-1.2,-4.4909999999999997,-15,250,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|250|0|0|1
pocket_scan_00062,corner,-1.2,-4.4909999999999997,-15,250,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|250|20|0|1
pocket_scan_00063,corner,-1.2,-4.4909999999999997,-15,250,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|250|20|0|1
pocket_scan_00064,corner,-1.2,-4.4909999999999997,-15,250,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|250|-20|0|1
pocket_scan_00065,corner,-1.2,-4.4909999999999997,-15,250,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|250|-20|0|1
pocket_scan_00066,corner,-1.2,-4.4909999999999997,-15,250,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|250|0|20|1
pocket_scan_00067,corner,-1.2,-4.4909999999999997,-15,250,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|250|0|20|1
pocket_scan_00068,corner,-1.2,-4.4909999999999997,-15,250,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|250|0|20|1
pocket_scan_00069,corner,-1.2,-4.4909999999999997,-15,250,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|250|0|20|1
pocket_scan_00070,corner,-1.2,-4.4909999999999997,-15,500,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|500|0|0|1
pocket_scan_00071,corner,-1.2,-4.4909999999999997,-15,500,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|500|0|0|1
pocket_scan_00072,corner,-1.2,-4.4909999999999997,-15,500,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|500|20|0|1
pocket_scan_00073,corner,-1.2,-4.4909999999999997,-15,500,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|500|20|0|1
pocket_scan_00074,corner,-1.2,-4.4909999999999997,-15,500,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|500|-20|0|1
pocket_scan_00075,corner,-1.2,-4.4909999999999997,-15,500,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|500|-20|0|1
pocket_scan_00076,corner,-1.2,-4.4909999999999997,-15,500,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|500|0|20|1
pocket_scan_00077,corner,-1.2,-4.4909999999999997,-15,500,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|500|0|20|1
pocket_scan_00078,corner,-1.2,-4.4909999999999997,-15,500,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|500|0|20|1
pocket_scan_00079,corner,-1.2,-4.4909999999999997,-15,500,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|500|0|20|1
pocket_scan_00080,corner,-1.2,-4.4909999999999997,0,25,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|25|0|0|1
pocket_scan_00081,corner,-1.2,-4.4909999999999997,0,25,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|25|0|0|1
pocket_scan_00082,corner,-1.2,-4.4909999999999997,0,25,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|25|20|0|1
pocket_scan_00083,corner,-1.2,-4.4909999999999997,0,25,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|25|20|0|1
pocket_scan_00084,corner,-1.2,-4.4909999999999997,0,25,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|25|-20|0|1
pocket_scan_00085,corner,-1.2,-4.4909999999999997,0,25,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|25|-20|0|1
pocket_scan_00086,corner,-1.2,-4.4909999999999997,0,25,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|25|0|20|1
pocket_scan_00087,corner,-1.2,-4.4909999999999997,0,25,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|25|0|20|1
pocket_scan_00088,corner,-1.2,-4.4909999999999997,0,25,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|25|0|20|1
pocket_scan_00089,corner,-1.2,-4.4909999999999997,0,25,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|25|0|20|1
pocket_scan_00090,corner,-1.2,-4.4909999999999997,0,100,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|100|0|0|1
pocket_scan_00091,corner,-1.2,-4.4909999999999997,0,100,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|100|0|0|1
pocket_scan_00092,corner,-1.2,-4.4909999999999997,0,100,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|100|20|0|1
pocket_scan_00093,corner,-1.2,-4.4909999999999997,0,100,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|100|20|0|1
pocket_scan_00094,corner,-1.2,-4.4909999999999997,0,100,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|100|-20|0|1
pocket_scan_00095,corner,-1.2,-4.4909999999999997,0,100,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|100|-20|0|1
pocket_scan_00096,corner,-1.2,-4.4909999999999997,0,100,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|100|0|20|1
pocket_scan_00097,corner,-1.2,-4.4909999999999997,0,100,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|100|0|20|1
pocket_scan_00098,corner,-1.2,-4.4909999999999997,0,100,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|100|0|20|1
pocket_scan_00099,corner,-1.2,-4.4909999999999997,0,100,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|100|0|20|1
pocket_scan_00100,corner,-1.2,-4.4909999999999997,0,250,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|250|0|0|1
pocket_scan_00101,corner,-1.2,-4.4909999999999997,0,250,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|250|0|0|1
pocket_scan_00102,corner,-1.2,-4.4909999999999997,0,250,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|250|20|0|1
pocket_scan_00103,corner,-1.2,-4.4909999999999997,0,250,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|250|20|0|1
pocket_scan_00104,corner,-1.2,-4.4909999999999997,0,250,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|250|-20|0|1
pocket_scan_00105,corner,-1.2,-4.4909999999999997,0,250,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|250|-20|0|1
pocket_scan_00106,corner,-1.2,-4.4909999999999997,0,250,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|250|0|20|1
pocket_scan_00107,corner,-1.2,-4.4909999999999997,0,250,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|250|0|20|1
pocket_scan_00108,corner,-1.2,-4.4909999999999997,0,250,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|250|0|20|1
pocket_scan_00109,corner,-1.2,-4.4909999999999997,0,250,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|250|0|20|1
pocket_scan_00110,corner,-1.2,-4.4909999999999997,0,500,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|500|0|0|1
pocket_scan_00111,corner,-1.2,-4.4909999999999997,0,500,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|500|0|0|1
pocket_scan_00112,corner,-1.2,-4.4909999999999997,0,500,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|500|20|0|1
pocket_scan_00113,corner,-1.2,-4.4909999999999997,0,500,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|500|20|0|1
pocket_scan_00114,corner,-1.2,-4.4909999999999997,0,500,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|500|-20|0|1
pocket_scan_00115,corner,-1.2,-4.4909999999999997,0,500,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|500|-20|0|1
pocket_scan_00116,corner,-1.2,-4.4909999999999997,0,500,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|500|0|20|1
pocket_scan_00117,corner,-1.2,-4.4909999999999997,0,500,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|500|0|20|1
pocket_scan_00118,corner,-1.2,-4.4909999999999997,0,500,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|500|0|20|1
pocket_scan_00119,corner,-1.2,-4.4909999999999997,0,500,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|0|500|0|20|1
pocket_scan_00120,corner,-1.2,-4.4909999999999997,15,25,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|0|1
pocket_scan_00121,corner,-1.2,-4.4909999999999997,15,25,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|0|1
pocket_scan_00122,corner,-1.2,-4.4909999999999997,15,25,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|20|0|1
pocket_scan_00123,corner,-1.2,-4.4909999999999997,15,25,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|20|0|1
pocket_scan_00124,corner,-1.2,-4.4909999999999997,15,25,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|-20|0|1
pocket_scan_00125,corner,-1.2,-4.4909999999999997,15,25,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|-20|0|1
pocket_scan_00126,corner,-1.2,-4.4909999999999997,15,25,0,20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|20|1
pocket_scan_00127,corner,-1.2,-4.4909999999999997,15,25,0,20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|20|1
pocket_scan_00128,corner,-1.2,-4.4909999999999997,15,25,0,-20,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|20|1
pocket_scan_00129,corner,-1.2,-4.4909999999999997,15,25,0,-20,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|25|0|20|1
pocket_scan_00130,corner,-1.2,-4.4909999999999997,15,100,0,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|0|0|1
pocket_scan_00131,corner,-1.2,-4.4909999999999997,15,100,0,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|0|0|1
pocket_scan_00132,corner,-1.2,-4.4909999999999997,15,100,20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|20|0|1
pocket_scan_00133,corner,-1.2,-4.4909999999999997,15,100,20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|20|0|1
pocket_scan_00134,corner,-1.2,-4.4909999999999997,15,100,-20,0,-1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|-20|0|1
pocket_scan_00135,corner,-1.2,-4.4909999999999997,15,100,-20,0,1,13.199999999999999,11,1.2,4,6,2.8574999999999999,False,False,jaw_or_rail_rejection,corner|1.2|15|100|-20|0|1
