case_id,seed,passed,frame_count,wall_seconds,peak_rss_bytes,deterministic_hash
cue_center_hit,7,true,240,0.068172,42483712,0820ebe9d7028ada8aeff6cb40fcd9f0978458d262a6f47f01c0d951f52e2cf9
cue_near_miscue,7,true,240,0.071529,73973760,ad3a51e6ed6c76c93be3397f7d188906b7f08ac95218af9f868c8c5a4f68407d
sliding_to_rolling,7,true,240,0.072339,90226688,b3d30600c51d52a83a92c751b84374e453a877dde144be9a947769aae1f5c084
oblique_ball_collision,7,true,240,0.077333,95059968,79db07b93f9733453394df001176df9956c3b157301faa3c58b4a0a83930c18e
rail_rebound,7,true,240,0.078942,98336768,178c8da0b73ed1607ab698eb53ed3bce9fa83f155f46d1b0d3319a66266a8e95
side_pocket_capture,7,true,240,0.075963,104366080,ebb22f2230b3e034c161715393e8d3ab46f584892b7e9cf084120f5533f3a178
seeded_break,101,true,360,0.145194,126746624,04525e3ab3736570e054f50838f4a680a39bdb96f0173780da7e3f925481d16c
continuous_scoring,211,true,360,0.123124,151699456,d1e8a5ddc669681202cd2bd6797fcd3aabd688c32656ee38701e3c6947edbc64
cue_ball_scratch,307,true,120,0.034770,154124288,577d5b597b158426a03ca95bb11a38c65edcaa89fa2887f265450d9829961988
randomized_legal_sequence,305419896,true,48,0.014768,154124288,130fe4f0bbb2985e8149e0d4a9bbf8f503356fe1103820584d595a1f55218b79
cadence_equivalence,401,true,240,0.226136,154124288,66bc74a8bf03f2f185a0ca3d924814aef9be23f545468450bdf2c5f07d7c1ed9
host_load_equivalence,503,true,240,0.311637,154124288,de761f0d6cb085508e7f63e7c897168cbc038257de1b89036bfbd4e3b2ddeabf
